@relation BTC-all
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute 'Adj Close' numeric
@attribute Volume numeric
@attribute SMA_7 numeric
@attribute SMA_14 numeric
@attribute EMA_7 numeric
@attribute EMA_14 numeric
@attribute RSI numeric
@attribute Stoch_RSI numeric
@attribute Upper_BB numeric
@attribute Lower_BB numeric
@attribute MACD numeric

@data
2014-10-14,391.691986,411.697998,391.324005,400.869995,400.869995,38491500,373.094291,360.392931,376.98669,371.799589,54.529605,0.991932,422.829855,317.231348,-10.737706
2014-10-15,400.954987,402.22699,388.765991,394.77301,394.77301,25267100,379.070435,361.189933,381.434329,374.911777,53.565092,0.965996,419.691379,318.689724,-8.196223
2014-10-16,394.518005,398.807007,373.070007,382.556,382.556,26990000,381.57472,361.724505,381.714797,375.945126,52.336359,0.932954,416.279522,319.914682,-7.086205
2014-10-17,382.756012,385.477997,375.389008,383.757996,383.757996,13600700,384.745575,363.456362,382.225665,376.999326,58.314477,1,413.813751,320.804254,-6.039892
2014-10-18,383.976013,395.15799,378.971008,391.441986,391.441986,11416800,388.908857,367.926076,384.529977,378.944982,75.469711,1,415.589314,320.45479,-4.538333
2014-10-19,391.253998,393.938995,386.457001,389.54599,389.54599,5914570,390.479854,372.857217,385.784075,380.371134,79.658722,1,417.165877,320.286125,-3.461426
2014-10-20,389.230988,390.084015,378.252014,382.845001,382.845001,16419000,389.398568,376.626216,385.049265,380.703546,73.241668,0.896526,416.670191,320.371911,-3.112802
2014-10-21,382.42099,392.645996,380.834015,386.475006,386.475006,14188900,387.342141,380.218216,385.405715,381.478249,72.644511,0.864808,417.018493,320.309611,-2.514616
2014-10-22,386.118011,388.575989,382.248993,383.15799,383.15799,11641300,385.682853,382.376644,384.843766,381.703519,65.480215,0.680228,417.782265,320.354439,-2.281901
2014-10-23,382.962006,385.048004,356.446991,358.416992,358.416992,26456900,382.234423,381.904572,378.236915,378.58299,47.002906,0.249274,417.775176,320.252028,-4.04721
2014-10-24,358.591003,364.345001,353.304993,358.345001,358.345001,15585700,378.603995,381.674785,373.263848,375.872805,48.494824,0.258173,415.799502,325.175601,-5.389908
2014-10-25,358.610992,359.860992,342.877014,347.270996,347.270996,18127500,372.293854,380.601355,366.765548,372.044803,43.588838,0,412.239297,331.411906,-7.263852
2014-10-26,347.487,359.221008,343.931,354.70401,354.70401,11272500,367.316428,378.898141,363.750133,369.72512,38.999859,0,409.412025,336.701677,-8.056316
2014-10-27,354.777008,358.631989,349.80899,352.989014,352.989014,13033000,363.051287,376.224928,361.059833,367.487304,30.951294,0,407.32334,340.470563,-8.722192
